Ref #,State,Organization,Date,Fact-Check URL,Author,Title,Paywall — Wayback Machine Link,TV Alternate/Duplicate Link,Notes,Claimant Name // (Claim Source?),Type of Claimant,Political Designation,Party Affiliation,Current Officeholder?,Current Position,Running for Office?,Aspiring Position,Topic,Source of Statement,Fact-Check Format,Was a Definitive Rating Given?,Multiple claims?,DELETE,INDIVIDUAL RECORD,ECONOMIC ISSUES,GOVERNMENT OPERATIONS,VOTING/ELECTIONS,CIVIL RIGHTS MINORITY ISSUES AND CIVIL LIBERTIES,IMMIGRATION AND REFUGEE ISSUES,LGBTQ,RACE,RELIGION,SOCIAL WELFARE,EDUCATION,ABORTION/WOMEN,HEALTH,LAW AND CRIME AND POLICING,GUNS,HISTORY,LEGISLATION,AGRICULTURE,ENERGY AND ENVIRONMENT,COMMUNITY DEVELOPMENT AND HOUSING,TECHNOLOGY SCIENCE SPACE,MEDIA AND COMMUNICATIONS
2,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/6/2022,https://repustar.com/fact-briefs/does-arizona-have-one-of-the-most-restrictive-abortion-laws-in-the-united-states,Jordan Gerard,Does Arizona have one of the most restrictive abortion laws in the US?,,,,Mark Kelly,Nonpolitical,,,,,,,"Abortion/Women, Individual Record",Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/8/2022,https://repustar.com/fact-briefs/does-voting-in-person-on-election-day-in-arizona-minimize-potential-voter-fraud,Ngan Nguyen,Does voting in person on Election Day in Arizona minimize potential voter fraud?,,,,Wendy Rogers,Political,Politician,Republican,Yes,State Legislator,Yes,State Legislator,Voting/Elections,Interview/TV Appearance,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/11/2022,https://repustar.com/fact-briefs/does-katie-hobbs-support-abortion-without-limits,Austin Tannenbaum,Does Katie Hobbs support abortion without limits?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Abortion/Women, Individual Record",Interview/TV Appearance,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/11/2022,https://repustar.com/fact-briefs/did-blake-masters-revise-his-stance-privatizing-social-security,Ngan Nguyen,Did Blake Masters revise his stance on privatizing social security?,,,,Peter Morley,Political,No official role,Progressive,,,,,"Social Welfare, Individual Record, Voting/Elections",Social Media,Article,Yes,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/12/2022,https://repustar.com/fact-briefs/are-arizona-candidates-living-outside-newly-redrawn-boundaries-for-congressional-districts-still-eligible-to-run-in-those-districts,Jordan Gerard,Are Arizona candidates living outside newly redrawn districts still eligible to run in those districts?,,,,Kelly Cooper,Political,Politician,Republican,No,,Yes,U.S. Representative,Individual Record,Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/12/2022,https://repustar.com/fact-briefs/have-arizona-candidates-for-governor-katie-hobbs-and-kari-lake-had-a-debate,Ngan Nguyen,Has Katie Hobbs refused to debate Kari Lake?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Individual Record, Voting/Elections",Speech/Remarks,Article,Yes,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/12/2022,https://repustar.com/fact-briefs/can-county-recorders-in-arizona-come-up-with-their-own-election-laws,Ngan Nguyen,Can county recorders in Arizona come up with their own election laws?,,,,Mark Finchem,Political,Politician,Republican,Yes,State Legislator,Yes,State Secretary of State,"Individual Record, Voting/Elections",Social Media,Article,Yes,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/12/2022,https://repustar.com/fact-briefs/does-kari-lake-support-a-total-abortion-ban,Austin Tannenbaum,Does Kari Lake support a total abortion ban?,,,,Judd Legum,Nonpolitical,,,,,,,"Abortion/Women, Individual Record",Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/13/2022,https://repustar.com/fact-briefs/have-more-people-in-arizona-died-of-fentanyl-overdoses-than-covid-19-since-biden-took-office-in-2021,Jordan Gerard,Have more people in Arizona died of fentanyl overdoses than COVID-19 since Biden took office in 2021?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Health, Individual Record",Interview/TV Appearance,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/13/2022,https://repustar.com/fact-briefs/do-arizona-county-recorders-oppose-proposition-would-enact-more-voter-id-requirements,Jordan Gerard,Do Arizona county recorders oppose a proposition that would enact more voter ID requirements?,,,,Garrett Archer,Nonpolitical,,,,,,,"Voting/Elections, Legislation",Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/13/2022,https://repustar.com/fact-briefs/can-county-election-officials-in-arizona-reject-prospective-election-workers-based-on-political-party,Robyn Sundlee,Can county election officials in Arizona reject prospective election workers based on political party?,,,,Ronna McDaniel,Political,Political organization,Republican,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/15/2022,https://repustar.com/fact-briefs/does-juan-ciscomani-support-a-total-ban-on-abortion,Austin Tannenbaum,Does Juan Ciscomani support a total ban on abortion?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Abortion/Women, Individual Record",Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/15/2022,https://repustar.com/fact-briefs/did-mark-finchem-vote-against-multiple-bills-offering-financial-support-to-veterans,Austin Tannenbaum,Did Mark Finchem vote against multiple bills offering financial support to veterans?,,,,David Lucier,Political,Politician,Democratic,No,,No,,"Government Operations, Social Welfare, Individual Record, Legislation",Social Media,Article,Yes,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
15,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/17/2022,https://repustar.com/fact-briefs/was-a-member-of-the-arizona-democratic-party-found-guilty-of-ballot-harvesting,Austin Tannenbaum,Was a member of the Arizona Democratic Party found guilty of 'ballot harvesting?',,,,Unknown social media user(s),Nonpolitical,,,,,,,"Individual Record, Voting/Elections",Social Media,Article,Yes,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/18/2022,https://repustar.com/fact-briefs/did-arizona-lease-farmland-to-a-saudi-arabian-company-under-market-value,Austin Tannenbaum,Did Arizona lease farmland to a Saudi Arabian company at a below-market rate?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Energy and Environment, Government Operations, Individual Record",Social Media,Article,Yes,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/18/2022,https://repustar.com/fact-briefs/did-sen-mark-kelly-claim-arizonas-drought-is-not-an-existential-crisis,Ngan Nguyen,Did Mark Kelly claim Arizona's drought is not an existential crisis?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Energy and Environment, Individual Record",Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/18/2022,https://repustar.com/fact-briefs/is-arizonas-pima-county-denying-access-to-party-observers-at-early-voting-locations,Jordan Gerard,Is Arizona’s Pima County denying access to party observers at early voting locations?,,,,Ronna McDaniel,Political,Political organization,Republican,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/18/2022,https://repustar.com/fact-briefs/did-arizona-governor-candidate-kari-lake-pass-off-footage-of-russian-troops-as-the-arizona-national-guard-in-a-political-ad,Jordan Gerard,Did Kari Lake use footage of Russian troops and claim it was the Arizona National Guard in a political ad?,,,,Lindy Li,Political,No official role,Progressive,,,,,"Individual Record, Government Operations",Social Media,Article,Yes,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/18/2022,https://repustar.com/fact-briefs/is-the-biden-administration-suing-arizona-to-block-the-state-from-requiring-proof-of-citizenship-from-those-registering-to-vote-in-federal-elections,Jordan Gerard,Is the Biden Administration challenging an Arizona law that requires voters to provide proof of citizenship?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Individual Record, Government Operations, Immigration and Refugee issues, Voting/Elections",Social Media,Article,Yes,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
